UnitPrice,ShippingCost,Discount,Description,Year,Quarter,Month,DateofWeek,Hour,Country,PaymentMethod,Category,ShipmentProvider,WarehouseLocation,Quantity
60.77,5.8,0.21,Office Chair,2021,Q4,Nov,Sat,9,United Kingdom,Credit Card,Apparel,DHL,Amsterdam,73.18706489778101
41.08,16.4,0.16,Headphones,2021,Q3,Jul,Sat,20,France,Bank Transfer,Furniture,FedEx,Amsterdam,73.29948908353732
78.79,8.57,0.08,Notebook,2020,Q3,Jul,Fri,20,Spain,Bank Transfer,Stationery,UPS,Rome,74.15994313445485
72.37,18.11,0.47,USB Cable,2020,Q3,Sep,Sun,5,Sweden,Credit Card,Apparel,UPS,Berlin,74.15994313445485
62.27,13.17,0.4,USB Cable,2021,Q3,Sep,Tue,16,Norway,paypall,Stationery,DHL,Paris,25.00918380049093
61.04,18.37,0.26,Headphones,2021,Q3,Jul,Wed,3,Netherlands,paypall,Stationery,DHL,Rome,74.15994313445485
93.53,17.4,0.2,Headphones,2022,Q1,Mar,Tue,8,Portugal,Credit Card,Furniture,FedEx,London,74.15994313445485
80.85,11.03,0.33,Desk Lamp,2021,Q2,May,Mon,3,Portugal,Credit Card,Stationery,Royal Mail,Amsterdam,25.00918380049093
30.9,21.4,0.19,Headphones,2020,Q2,Jun,Wed,1,Netherlands,Bank Transfer,Furniture,DHL,Berlin,74.15994313445485
86.6,28.74,0.32,Headphones,2021,Q2,Jun,Mon,12,Netherlands,paypall,Accessories,UPS,Amsterdam,25.00918380049093
94.89,17.32,0.4,Blue Pen,2020,Q1,Feb,Sat,3,France,paypall,Apparel,FedEx,Berlin,74.15994313445485
50.94,28.0,0.18,Blue Pen,2020,Q4,Oct,Thu,13,Germany,paypall,Stationery,DHL,Amsterdam,73.18706489778101
44.95,13.43,0.19,Notebook,2021,Q2,Apr,Tue,22,Netherlands,Credit Card,Accessories,Royal Mail,Amsterdam,73.29948908353732
4.52,19.63,0.36,Headphones,2022,Q2,Apr,Sun,8,United Kingdom,Bank Transfer,Accessories,DHL,Rome,74.15994313445485
4.64,29.19,0.32,Backpack,2021,Q2,Apr,Wed,20,Norway,paypall,Apparel,FedEx,London,25.00918380049093
36.94,7.88,0.45,Blue Pen,2020,Q2,Apr,Thu,14,Australia,Credit Card,Stationery,DHL,Rome,74.15994313445485
67.26,26.86,0.41,Wireless Mouse,2020,Q3,Sep,Wed,2,Norway,paypall,Stationery,DHL,Rome,25.00918380049093
57.36,9.76,0.3,Blue Pen,2020,Q2,May,Fri,5,Spain,paypall,Stationery,DHL,Rome,74.15994313445485
73.8,16.38,0.33,White Mug,2020,Q1,Jan,Sat,3,Spain,Bank Transfer,Apparel,UPS,Paris,74.15994313445485
79.83,6.11,0.5,Blue Pen,2020,Q1,Feb,Thu,7,Germany,Bank Transfer,Apparel,UPS,Rome,74.15994313445485
8.64,12.33,0.32,Office Chair,2021,Q4,Dec,Mon,5,United States,Bank Transfer,Stationery,DHL,Amsterdam,73.29948908353732
86.45,22.01,0.15,Notebook,2020,Q2,May,Sun,3,Sweden,Bank Transfer,Stationery,UPS,London,25.00918380049093
52.0,24.2,0.19,Blue Pen,2021,Q3,Aug,Sun,11,Norway,Credit Card,Apparel,FedEx,Amsterdam,73.18706489778101
94.59,26.22,0.32,Desk Lamp,2020,Q4,Nov,Mon,5,Netherlands,Credit Card,Furniture,Royal Mail,London,74.15994313445485
73.29,9.57,0.32,Notebook,2020,Q4,Oct,Tue,11,Australia,Bank Transfer,Furniture,UPS,Berlin,74.15994313445485
58.96,6.0,0.38,T-shirt,2022,Q3,Jul,Fri,20,Spain,Bank Transfer,Accessories,DHL,London,74.15994313445485
68.94,17.32,0.4,White Mug,2022,Q3,Aug,Wed,15,Portugal,Credit Card,Furniture,Royal Mail,Paris,74.15994313445485
73.81,26.44,0.17,Office Chair,2020,Q1,Jan,Fri,20,Germany,Bank Transfer,Apparel,DHL,Berlin,74.15994313445485
94.17,25.18,0.06,Office Chair,2021,Q2,Apr,Sat,10,Norway,Bank Transfer,Apparel,DHL,Berlin,74.15994313445485
78.26,18.96,0.29,T-shirt,2021,Q2,Jun,Fri,6,France,paypall,Electronics,UPS,London,74.15994313445485
93.39,16.24,0.22,Blue Pen,2022,Q2,Apr,Tue,0,Italy,paypall,Apparel,FedEx,London,74.15994313445485
93.63,17.512863414147464,0.0,Desk Lamp,2020,Q1,Feb,Tue,23,Sweden,Bank Transfer,Electronics,DHL,Amsterdam,25.00918380049093
72.24,5.0,0.39,USB Cable,2022,Q1,Mar,Tue,12,United Kingdom,paypall,Electronics,FedEx,Amsterdam,73.29948908353732
87.26,19.95,0.23,Headphones,2020,Q1,Feb,Wed,19,United States,Credit Card,Stationery,Royal Mail,Paris,74.15994313445485
4.05,26.68,0.14,Desk Lamp,2020,Q1,Mar,Tue,6,Netherlands,Bank Transfer,Furniture,UPS,Rome,74.15994313445485
97.3,10.47,0.13,USB Cable,2022,Q3,Jul,Sat,16,United States,Credit Card,Apparel,DHL,Paris,74.15994313445485
17.1,26.35,0.45,Notebook,2021,Q4,Dec,Tue,2,Spain,Bank Transfer,Apparel,DHL,Rome,74.15994313445485
83.37,15.25,0.15,USB Cable,2021,Q1,Feb,Wed,1,Belgium,Bank Transfer,Accessories,FedEx,Paris,74.15994313445485
60.98,19.45,0.37,Backpack,2022,Q3,Sep,Mon,6,Netherlands,Credit Card,Apparel,UPS,Paris,74.15994313445485
31.39,16.41,0.11,Wall Clock,2021,Q1,Jan,Sat,5,Norway,Bank Transfer,Accessories,Royal Mail,Amsterdam,25.00918380049093
81.43,18.85,0.21,Office Chair,2022,Q4,Oct,Tue,21,France,paypall,Stationery,DHL,Berlin,25.00918380049093
51.28,26.7,0.48,Backpack,2021,Q1,Mar,Wed,20,United Kingdom,paypall,Furniture,FedEx,Berlin,74.15994313445485
23.2,9.16,0.3,Blue Pen,2020,Q2,Apr,Wed,22,Netherlands,Credit Card,Electronics,UPS,London,74.15994313445485
15.62,15.02,0.48,T-shirt,2021,Q1,Jan,Sun,3,Italy,Credit Card,Electronics,DHL,Rome,74.15994313445485
98.37,23.68,0.07,Headphones,2021,Q3,Sep,Wed,17,Portugal,paypall,Electronics,UPS,London,74.15994313445485
31.23,19.54,0.24,Wireless Mouse,2021,Q2,May,Sun,2,Portugal,Bank Transfer,Apparel,DHL,Paris,74.15994313445485
56.08,9.69,0.38,Wall Clock,2020,Q4,Nov,Sun,0,France,Bank Transfer,Electronics,FedEx,London,74.15994313445485
51.17,29.54,0.17,USB Cable,2022,Q1,Feb,Mon,20,Portugal,Bank Transfer,Apparel,Royal Mail,Paris,74.15994313445485
36.33,17.67,0.33,T-shirt,2021,Q1,Feb,Thu,18,Norway,Bank Transfer,Accessories,FedEx,London,74.15994313445485
92.81,29.86,0.02,Wall Clock,2021,Q1,Mar,Fri,7,Belgium,paypall,Furniture,UPS,London,74.15994313445485
68.31,5.98,0.41,Notebook,2021,Q4,Dec,Fri,23,Sweden,Bank Transfer,Accessories,FedEx,London,25.00918380049093
71.08,23.38,0.2,Backpack,2021,Q4,Nov,Mon,1,Australia,paypall,Furniture,FedEx,Paris,74.15994313445485
50.13,13.01,0.46,Wall Clock,2022,Q1,Mar,Mon,1,Netherlands,Bank Transfer,Furniture,FedEx,Amsterdam,25.00918380049093
82.88,9.54,0.29,Desk Lamp,2022,Q4,Dec,Fri,22,Italy,Credit Card,Electronics,UPS,Amsterdam,73.18706489778101
77.91,18.12,0.34,USB Cable,2020,Q1,Jan,Sat,10,Sweden,Credit Card,Accessories,UPS,Amsterdam,73.18706489778101
12.68,15.23,0.44,Backpack,2020,Q2,Jun,Fri,4,Australia,Bank Transfer,Accessories,Royal Mail,Berlin,74.15994313445485
78.26,10.96,0.36,Notebook,2020,Q4,Oct,Thu,3,Netherlands,Bank Transfer,Accessories,DHL,London,74.15994313445485
